Date;Close;Open;High;Low;Volume (Million);Change %;;;;
01.09.2025;254,63;229,25;257,6;225,95;1270;9,69%;;;;
01.08.2025;232,14;210,87;235,12;201,5;1220;11,84%;;;;
01.07.2025;207,57;206,66;216,23;206,14;1080;1,17%;;;;
01.06.2025;205,17;200,28;207,39;195,07;1100;2,15%;;;;
01.05.2025;200,85;209,08;214,56;193,25;1200;-5,48%;;;;
01.04.2025;212,5;219,8;225,19;169,21;1610;-4,34%;;;;
01.03.2025;222,13;241,79;244,03;208,42;1120;-8,15%;;;;
01.02.2025;241,84;229,99;250;225,7;862;2,47%;;;;
01.01.2025;236;248,93;249,1;219,38;1200;-5,76%;;;; 
01.12.2024;250,42;237,27;260,1;237,16;978;5,52%;;;;
01.11.2024;237,33;220,96;237,81;219,71;892;5,06%;;;;
01.10.2024;225,91;229,52;237,49;221,33;931;-3,04%;;;;
01.09.2024;233;228,55;233,09;213,92;1230;1,75%;;;;
01.08.2024;229;224,37;232,92;196;1120;3,12%;;;;
01.07.2024;222,08;212,09;237,23;211,92;1150;5,44%;;;;
01.06.2024;210,62;192,9;220,2;192,15;1720;9,56%;;;;
01.05.2024;192,25;169,58;193;169,11;1340;12,87%;;;;
01.04.2024;170,33;171,19;178,36;164,07;1250;-0,67%;;;;
01.03.2024;171,48;179,55;180,53;168,49;1430;-5,13%;;;;
01.02.2024;180,75;183,99;191,05;179,25;1160;-1,98%;;;;
01.01.2024;184,4;187,15;196,38;180,17;1190;-4,22%;;;;
01.12.2023;192,53;190,33;199,62;187,45;1060;1,36%;;;;
01.11.2023;189,95;171;192,93;170,12;1100;11,23%;;;;
01.10.2023;170,77;171,22;182,34;165,67;1170;-0,26%;;;;
01.09.2023;171,21;189,49;189,98;167,62;1340;-8,87%;;;;
01.08.2023;187,87;196,24;196,73;171,96;1320;-4,37%;;;;
01.07.2023;196,45;193,78;198,23;186,6;996;1,28%;;;;
01.06.2023;193,97;177,7;194,48;176,93;1300;9,43%;;;;
01.05.2023;177,25;169,28;179,35;164,31;1280;4,46%;;;;
01.04.2023;169,68;164,27;169,85;159,78;970;2,90%;;;;
01.03.2023;164,9;146,83;165;143,9;1520;11,86%;;;;
01.02.2023;147,41;143,97;157,38;141,32;1310;2,16%;;;;
01.01.2023;144,29;130,28;147,23;124,17;1440;11,05%;;;;
01.12.2022;129,93;148,21;150,92;125,87;1680;-12,23%;;;;
01.11.2022;148,03;155,08;155,45;134,38;1720;-3,46%;;;;
01.10.2022;153,34;138,21;157,5;134,37;1870;10,96%;;;;
01.09.2022;138,2;156,64;164,26;138;2080;-12,10%;;;;
01.08.2022;157,22;161,01;176,15;157,14;1510;-3,26%;;;;
01.07.2022;162,51;136,04;163,63;135,66;1450;18,86%;;;;
01.06.2022;136,72;149,9;151,74;129,04;1750;-8,14%;;;;
01.05.2022;148,84;156,71;166,48;132,61;2400;-5,59%;;;;
01.04.2022;157,65;174,03;178,49;155,38;1690;-9,71%;;;;
01.03.2022;174,61;164,69;179,61;150,1;2180;5,75%;;;;
01.02.2022;165,12;174,01;176,65;152;1630;-5,53%;;;;
01.01.2022;174,78;177,83;182,94;154,7;2110;-1,57%;;;;
01.12.2021;177,57;167,48;182,13;157,8;2450;7,42%;;;;
01.11.2021;165,3;148,99;165,7;147,48;1690;10,35%;;;;
01.10.2021;149,8;141,9;153,16;138,27;1570;5,87%;;;;
01.09.2021;141,5;152,83;157,26;141,27;1800;-6,80%;;;;
01.08.2021;151,83;146,36;153,49;144,5;1460;4,09%;;;;
01.07.2021;145,86;136,6;150;135,76;1920;6,50%;;;;
01.06.2021;136,96;125,08;137,41;123,13;1610;9,91%;;;;
01.05.2021;124,61;132,04;134,07;122,25;1710;-5,21%;;;;
01.04.2021;131,46;123,66;137,07;122,49;1890;7,62%;;;;
01.03.2021;122,15;123,75;128,72;116,21;2650;0,73%;;;;
01.02.2021;121,26;133,75;137,88;118,39;1830;-8,11%;;;;
01.01.2021;131,96;133,52;145,09;126,38;2240;-0,55%;;;;
01.12.2020;132,69;121,01;138,79;120,01;2320;11,46%;;;;
01.11.2020;119,05;109,11;121,99;107,32;2120;9,36%;;;;
01.10.2020;108,86;117,64;125,39;107,72;2900;-6,00%;;;;
01.09.2020;115,81;132,76;137,98;103,1;3890;-10,25%;;;;
01.08.2020;129,04;108,2;131;107,89;4070;21,44%;;;;
01.07.2020;106,26;91,28;106,42;89,14;3020;16,51%;;;;
01.06.2020;91,2;79,44;93,09;79,3;3240;14,75%;;;;
01.05.2020;79,48;71,56;81,06;71,46;2810;8,21%;;;;
01.04.2020;73,45;61,62;73,63;59,23;3270;15,54%;;;;
01.03.2020;63,57;70,57;76;53,15;6280;-6,98%;;;;
01.02.2020;68,34;76,08;81,81;64,09;3020;-11,68%;;;;
01.01.2020;77,38;74,06;81,96;73,19;2940;5,41%;;;;
